简称,全称,分类,省份,碳排放因子,说明
全国电网,2022全国电网平均排放因子,,,0.581,用于参与全国市场交易的企业的排放
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,北京,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,天津,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,河北,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,山西,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,内蒙古,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,华北电网,山东,0.8843,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》华北电网（含蒙西（除赤峰、通辽、呼伦贝尔和兴安盟外的内蒙古其他地区））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,东北电网,辽宁,0.7769,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》东北电网（辽宁、 吉林、黑龙江、蒙东（赤峰、通辽、呼伦贝尔和兴安盟））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,东北电网,吉林,0.7769,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》东北电网（辽宁、 吉林、黑龙江、蒙东（赤峰、通辽、呼伦贝尔和兴安盟））"
区域电网,2012年中国区域电网平均二氧化碳排放因子,东北电网,黑龙江,0.7769,"《2011 年和 2012 年中国区域电网
平均 CO2 排放因子》东北电网（辽宁、 吉林、黑龙江、蒙东（赤峰、通辽、呼伦贝尔和兴安盟））"
