建筑类型,参考范围,综合默认值,用电默认值,燃气默认值,约束值,引导值
国家机关办公,"55-70(A类)
65-90(B类)",80,76,1,55,70
商业办公(集中空调系统),"70-85(A类)
80-110(B类)",90,85.5,1,70,85
商业办公(半集中、分散式空调系统),"70-85(A类)
80-110(B类)",90,,,70,85
宾馆(五星级),"135-160(A类)
180-240(B类)",200,150,5,135,160
宾馆(四星级),"115-135(A类)
150-200(B类)",180,135,4.5,115,135
宾馆(三星级),"90-110(A类)
120-160(B类)",150,112.5,3.75,90,110
购物中心,"110-130(A类)
210-260(B类)",220,198,3,110,130
百货,"110-130(A类)
170-200(B类)",220,198,3,110,130
超市及仓储,"120-150(A类)
180-225(B类)",220,198,3,120,150
餐饮店,70-90(A类),90,,,70,90
一般商铺,70-90(A类),90,,,70,90
教育,,90,,,,
文化展厅,,180,171,2,,
图书馆,181(项目模拟结果),181,,,,
标准化实验室,446-582(项目模拟结果),450,,,,
体育建筑,168(项目模拟结果),168,,,,
宿舍,62(项目模拟结果),62,,,,
停车,6-9(办公建筑)8-12(商场建筑)11-15(旅馆建筑),12,12,0,8,12
后勤,,90,,,,
医疗卫生,,,,,,
其他,,,,,,
